# CUDA_PROFILE_LOG_VERSION 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_DEVICE 0 Tesla C1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_PROFILE_CSV 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp,method,gputime,cputime,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,occupancy,streamID,local_load,local_store,divergent_branch,branch,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,gld_32b,gld_64b,gld_128b,instructions,gst_32b,gst_64b,gst_128b,warp_serialize,cta_launched
38912.977,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.752,19.902,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,48,0,6,0,48,0,0,3,0,0,0,1
38990.664,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.163,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39069.113,memcopy,4.384,13.683,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
39086.441,_Z29calculateThresholdCUDATexturehPjS_S_,95.776,108.82,1200,1,256,1,1,0,3120,7,1,0,0,0,269,15268,,,0,0,0,720,0,0,0,38645,360,0,0,0,120
39253.508,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.915,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,48,0,6,0,48,0,0,3,0,0,0,1
39331.094,_Z27calculateThresholdCUDAFinalPjS_S_jPh,9.728,22.631,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39409.055,memcopy,4.48,14.041,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
39426.789,_Z29calculateThresholdCUDATexturehPjS_S_,95.648,108.756,1200,1,256,1,1,0,3120,7,1,0,0,0,249,15249,,,0,0,0,720,0,0,0,38508,360,0,0,0,120
39593.664,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,19.783,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39671.188,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.24,23.312,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39749.969,memcopy,4.416,13.899,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
39955.496,_Z25segmentImageCoalescedCUDAP6uchar4h,10.24,23.435,300,1,256,1,1,0,32,6,1,0,0,0,0,0,,,0,480,0,1920,0,480,0,2032,0,480,0,0,30
40102.414,_Z17dilateImageCUDA_DPh,22.432,43.804,1200,1,256,1,1,0,32,7,1,0,0,0,35,357,,,0,0,0,3084,0,0,0,5715,1542,0,0,0,120
40208.176,_Z17dilateImageCUDA_RPh,23.84,37.02,1200,1,256,1,1,0,32,7,1,0,0,0,32,358,,,0,0,0,3474,0,0,0,5782,1737,0,0,0,120
40302.973,_Z17dilateImageCUDA_DPh,23.456,36.816,1200,1,256,1,1,0,32,7,1,0,0,0,38,364,,,0,0,0,4032,0,0,0,6184,2016,0,0,0,120
40397.008,_Z17dilateImageCUDA_RPh,24.224,37.505,1200,1,256,1,1,0,32,7,1,0,0,0,38,364,,,0,0,0,4368,0,0,0,6183,2184,0,0,0,120
40491.875,_Z17dilateImageCUDA_DPh,24.448,37.671,1200,1,256,1,1,0,32,7,1,0,0,0,38,364,,,0,0,0,4710,0,0,0,6182,2355,0,0,0,120
40586.672,_Z17dilateImageCUDA_RPh,25.504,38.892,1200,1,256,1,1,0,32,7,1,0,0,0,42,368,,,0,0,0,4998,0,0,0,6449,2499,0,0,0,120
40735.852,_Z16erodeImageCUDA_DPh,43.296,56.424,1200,1,256,1,1,0,32,6,1,0,0,0,10,426,,,0,0,0,14,0,0,0,3257,7,0,0,0,120
40901.027,_Z16erodeImageCUDA_RPh,43.072,56.078,1200,1,256,1,1,0,32,6,1,0,0,0,74,1439,,,0,0,0,328,0,0,0,6656,164,0,0,0,120
41065.891,_Z16erodeImageCUDA_DPh,42.144,55.197,1200,1,256,1,1,0,32,6,1,0,0,0,49,878,,,0,0,0,142,0,0,0,4771,71,0,0,0,120
41229.418,_Z16erodeImageCUDA_RPh,42.176,55.379,1200,1,256,1,1,0,32,6,1,0,0,0,19,518,,,0,0,0,36,0,0,0,3569,18,0,0,0,120
41412.355,_Z16erodeImageCUDA_DPh,40.896,53.915,1200,1,256,1,1,0,32,6,1,0,0,0,77,1500,,,0,0,0,330,0,0,0,6875,165,0,0,0,120
41576.348,_Z16erodeImageCUDA_RPh,38.624,51.896,1200,1,256,1,1,0,32,6,1,0,0,0,3,352,,,0,0,0,6,0,0,0,3019,3,0,0,0,120
41687.891,_Z36removeUnwantedNoiseHeightCUDATexturePhi,38.304,51.882,1200,1,256,1,1,0,32,7,1,0,0,0,2,644,,,0,0,0,3842,0,0,0,7102,1921,0,0,0,120
41797.762,_Z35removeUnwantedNoiseWidthCUDATexturePhi,43.616,56.927,1200,1,256,1,1,0,32,6,1,0,0,0,40,640,,,0,0,0,3840,0,0,0,11232,1920,0,0,0,120
41912.301,_Z36removeUnwantedNoiseHeightCUDATexturePhi,32.704,46.001,1200,1,256,1,1,0,32,7,1,0,0,0,1,633,,,0,0,0,3840,0,0,0,7044,1920,0,0,0,120
42015.75,_Z35removeUnwantedNoiseWidthCUDATexturePhi,41.6,54.819,1200,1,256,1,1,0,32,6,1,0,0,0,40,640,,,0,0,0,3840,0,0,0,11232,1920,0,0,0,120
42127.051,memcopy,60.128,125.993,,,,,,,,,,,,,,,307200,1,,,,,,,,,,,,,
