# CUDA_PROFILE_LOG_VERSION 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_DEVICE 0 Tesla C1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_PROFILE_CSV 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp,method,gputime,cputime,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,occupancy,streamID,local_load,local_store,divergent_branch,branch,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,gld_32b,gld_64b,gld_128b,instructions,gst_32b,gst_64b,gst_128b,warp_serialize,cta_launched
38573.516,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.184,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,48,0,6,0,48,0,0,3,0,0,0,1
38651.359,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.24,23.16,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
38730.254,memcopy,4.384,13.762,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
38748.094,_Z22calculateThresholdCUDAPhhPjS0_S0_,94.72,107.877,1200,1,256,1,1,0,3136,6,1,0,0,0,240,13960,,,0,1920,0,720,1920,0,0,37146,360,0,0,0,120
38915.148,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.88,20.103,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,48,0,6,0,48,0,0,3,0,0,0,1
38993.098,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.154,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39071.68,memcopy,4.384,13.841,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
39089.547,_Z22calculateThresholdCUDAPhhPjS0_S0_,94.368,107.987,1200,1,256,1,1,0,3136,6,1,0,0,0,240,13960,,,0,1920,0,720,1920,0,0,37145,360,0,0,0,120
39256.316,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.912,20.234,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39334.316,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.043,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
39413.289,memcopy,4.416,13.775,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
39618.711,_Z16segmentImageCUDAPhh,21.024,34.275,1200,1,256,1,1,0,32,3,1,0,0,0,0,0,,,0,1920,0,3840,1920,0,0,3232,1920,0,0,0,120
39778.055,_Z15dilateImageCUDAPhS_,23.328,44.948,1200,1,256,1,1,0,32,7,1,0,0,0,35,357,,,0,1920,0,3084,1920,0,0,5395,1542,0,0,0,120
39885.477,_Z15dilateImageCUDAPhS_,24.192,37.682,1200,1,256,1,1,0,32,7,1,0,0,0,32,358,,,0,1920,0,3474,1920,0,0,5461,1737,0,0,0,120
39981.309,_Z15dilateImageCUDAPhS_,24.608,37.844,1200,1,256,1,1,0,32,7,1,0,0,0,38,364,,,0,1920,0,4032,1920,0,0,5864,2016,0,0,0,120
